WaterbodyCode,WaterbodyName,WaterbodyType,Region,LA,CombinedCatchment,Cycle2AfA,Cycle3AfA,Cycle3Lead,DraftEO3,Cycle3Risk,Status2010_2015,Status2013_2018,Status2016_2021,Driver,ESTechnique,AchieveEO2010_2015,AchieveEO2013_2018,AchieveEO2016_2021,StatusChange,ClassChange,StatusReversal,EOChange,ClassChange18_21,Issues,PressureCount,Pressures,Abstractions,Agriculture,Anthropogenic Pressures,Aquaculture,Atmospheric,Domestic Waste Water,Forestry,Historically Polluted Sites,Hydromorphology,Industry,Invasive Species,Mines Quarries,Other Anthropogenic Pressures,Peat.x,Urban Run-off,Urban Waste Water,Waste,Water Treatment,P_Rank_1_3_v3R1,N_Rank_1_3_v3R1,DM1,DM2,Catchment,Area_ha,P_Wastewater,P_Other_licenced_discharges,P_Diffuse_Urban,P_Septi_ Tanks,P_Pasture,P_Arable,P_Forestry,P_Peat,P_Deposition,P_Total_kgYr,P_Urban_2018,Alluvium,Imperfect,Made,Peat.y,Poor,VeryPoor,Water,Well,Total,EOAssessment,ResponseCategory
IE_07_AWB_RCMLE,Royal Canal Main Line (Boyne),Canal,Midlands and East,Meath CoCo,7,,,,Good,Not at risk,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_09_AWB_GCB,Grand Canal Basin (Liffey and Dublin Bay),Canal,Midlands and East,Dublin City Council,9,,,,Good,At risk,Good,Moderate,Good,,Monitoring,Achieved,Not Achieved,Achieved,Improved,1,Yes,Now Achieving,1,"MicrobiologicalPollution, Organic",1,Urban Waste Water,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decline - Reversed,Status Reversal
IE_09_AWB_GCMLE,Grand Canal Main Line (Liffey and Dublin Bay),Canal,Midlands and East,Kildare CoCo,9,,,,Good,Not at risk,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_09_AWB_GCNL,Grand Canal Naas Line (Liffey and Dublin Bay),Canal,Midlands and East,Kildare CoCo,9,,,,Good,At risk,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,Nutrients,1,Anthropogenic Pressures,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_09_AWB_RCMLE,Royal Canal Main Line (Liffey and Dublin Bay),Canal,Midlands and East,Kildare CoCo,9,,,,Good,Review,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_14_AWB_GCBL,Grand Canal Barrow Line (Barrow),Canal,Midlands and East,Kildare CoCo,14,,,,Good,Review,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_14_AWB_GCMF,Grand Canal Milltown Feeder (Barrow),Canal,Midlands and East,Kildare CoCo,14,,,,Good,Review,Moderate,Good,Good,,Monitoring,Not Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Improvement - Maintained,Persistently Good or Better
IE_14_AWB_GCMLE,Grand Canal Main Line East (Barrow),Canal,Midlands and East,Kildare CoCo,14,,,,Good,Not at risk,Unassigned,Good,Good,,Monitoring,Cannot Assess,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_14_AWB_GCMLW,Grand Canal Main Line West (Barrow),Canal,Midlands and East,Kildare CoCo,14,,,,Good,Review,Unassigned,Good,Good,,Monitoring,Cannot Assess,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_25A_AWB_GCMLW,Grand Canal Main Line (Lower Shannon),Canal,Midlands and East,Offaly CoCo,25A,,,,Good,Not at risk,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_25A_AWB_RCMLW,Royal Canal Main Line (Lower Shannon),Canal,Midlands and East,Offaly CoCo,25A,,,,Good,Review,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_26A_AWB_SEW,Shannon Erne (Upper Shannon A),Canal,West,Roscommon CoCo,26A,,,,Good,Review,Poor,Poor,Moderate,,Monitoring,Not Achieved,Not Achieved,Not Achieved,Improved,1,No,Still not Achieving,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Improvement - Recent
IE_26C_AWB_RCMLW,Royal Canal Main Line  (Upper Shannon C),Canal,West,Roscommon CoCo,26C,,,,Good,Not at risk,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_26E_AWB_RCMLW,Royal Canal Main Line  (Upper Shannon E),Canal,West,Roscommon CoCo,26E,,,,Good,Review,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_26F_AWB_RCMLW,Royal Canal Main Line (Upper Shannon F),Canal,West,Roscommon CoCo,26F,,,,Good,Review,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_EA_010_0000,Boyne Estuary Plume Zone,Coastal,Midlands and East,Meath CoCo,"6, 7",,,,Good,At risk,Good,Moderate,Moderate,Invertebrates,Monitoring,Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,2,"Anthropogenic Pressures, Urban Run-off",,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decline - Maintained,Persistently Less than Good
IE_EA_010_0100,Boyne Estuary,Transitional,Borders,Louth CoCo,7,,,,Good,At risk,Moderate,Moderate,Moderate,"Hymo, Invertebrates",Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Nutrients, Organic",2,"Agriculture, Urban Waste Water",,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Persistently Less than Good
IE_EA_020_0000,Northwestern Irish Sea (HA 08),Coastal,Midlands and East,Fingal CoCo,"7, 8, 9",,,,High,Not at risk,Good,High,Good,"Hymo, Invertebrates",Monitoring,Not Achieved,Achieved,Not Achieved,Declined,1,Yes,No longer Achieving,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Improvement - Reversed,Status Reversal
IE_EA_030_0100,Nanny Estuary,Transitional,Midlands and East,Meath CoCo,8,,,,Good,Review,Unassigned,Moderate,Moderate,,Grouping,Cannot Assess,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Data Gap
IE_EA_040_0000,Rockabill,Coastal,Midlands and East,Fingal CoCo,8,,,,Good,Review,Unassigned,Unassigned,Unassigned,,,Cannot Assess,Cannot Assess,Cannot Assess,Cannot Assess,Cannot Assess,No,Cannot Assess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Gap,Data Gap
IE_EA_050_0100,Rogerstown Estuary,Transitional,Midlands and East,Fingal CoCo,8,,Rogerstown Estuary,LAWPRO,Good,At risk,Bad,Bad,Poor,,Monitoring,Not Achieved,Not Achieved,Not Achieved,Improved,1,No,Still not Achieving,1,Nutrients,2,"Agriculture, Domestic Waste Water",,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Persistently Poor
IE_EA_060_0000,Malahide Bay,Coastal,Midlands and East,Fingal CoCo,"8, 9",,,,Good,At risk,Moderate,Moderate,Moderate,,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Nutrients, Organic",1,Urban Waste Water,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Persistently Less than Good
IE_EA_060_0100,Broadmeadow Water,Transitional,Midlands and East,Fingal CoCo,"8, 9",,,,Good,At risk,Moderate,Poor,Moderate,"Hymo, Fish, GPC",Monitoring,Not Achieved,Not Achieved,Not Achieved,Improved,1,Yes,Still not Achieving,1,"Nutrients, Organic",2,"Domestic Waste Water, Urban Waste Water",,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Status Reversal
IE_EA_07_178,Glass,Lake,Midlands and East,Meath CoCo,7,,,,Good,Review,Unassigned,Good,Good,,Modelling,Cannot Assess,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Data Gap
IE_EA_07_190,Doo WH,Lake,Midlands and East,Meath CoCo,7,,,,Good,Review,Unassigned,Good,Good,,Modelling,Cannot Assess,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Data Gap
IE_EA_07_223,Ben,Lake,Midlands and East,Westmeath CoCo,7,,Lough Lene,LAWPRO,Good,Review,Unassigned,Good,Good,,Modelling,Cannot Assess,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Data Gap
IE_EA_07_242,Acurry,Lake,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Poor,Poor,Moderate,GPC,Monitoring,Not Achieved,Not Achieved,Not Achieved,Improved,1,No,Still not Achieving,1,"Nutrients, OtherSignificantImpacts",3,"Abstractions, Agriculture, Domestic Waste Water",TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Improvement - Recent
IE_EA_07_258,Annagh-White,Lake,Midlands and East,Westmeath CoCo,7,,Lough Lene,LAWPRO,High,Review,Good,Good,High,"Hymo, GPC",Monitoring,Not Achieved,Not Achieved,Achieved,Improved,1,No,Now Achieving,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Improvement - Significant,Improvement - Recent
IE_EA_07_267,Skeagh Upper,Lake,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Bad,Poor,Poor,Fish,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,2,"Agriculture, Domestic Waste Water",,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Persistently Poor
IE_EA_07_268,Drumkeery,Lake,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Bad,Poor,Poor,,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,2,"Agriculture, Domestic Waste Water",,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Persistently Poor
IE_EA_07_270,Bane Noggin Hill,Lake,Midlands and East,Meath CoCo,7,,Lough Lene,LAWPRO,High,At risk,High,Good,Good,Fish,Monitoring,Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Hydrological, Chemical, Nutrients",2,"Abstractions, Anthropogenic Pressures",TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decline - Maintained,Persistently Good or Better
IE_EA_07_273,Nadreegeal,Lake,Borders,Cavan CoCo,"26F, 7",Nadreegeel,Nadreegeel,LAWPRO,Good,At risk,Poor,Moderate,Moderate,GPC,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Chemical, Nutrients, Organic",1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Persistently Less than Good
IE_EA_07_274,Lene,Lake,Midlands and East,Westmeath CoCo,7,,Lough Lene,LAWPRO,Good,At risk,Good,Moderate,Moderate,Fish,Monitoring,Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,OtherSignificantImpacts,1,Invasive Species,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decline - Maintained,Persistently Less than Good
IE_EA_07_275,Ramor,Lake,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Bad,Poor,Poor,,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Nutrients, Organic, OtherSignificantImpacts",3,"Agriculture, Invasive Species, Urban Waste Water",,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Persistently Poor
IE_EA_070_0000,Irish Sea Dublin (HA 09),Coastal,Midlands and East,Fingal CoCo,9,,,,Good,Not at risk,Unassigned,Good,Good,,Monitoring,Cannot Assess,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
IE_EA_07A010020,ATHBOY_010,River,Midlands and East,Meath CoCo,7,,Athboy,LAWPRO,Good,At risk,Good,Moderate,Moderate,Invertebrates,Monitoring,Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Morphological, Nutrients",2,"Agriculture, Hydromorphology",,TRUE,,,,,,,TRUE,,,,,,,,,,6,13,3.5733333333333333,3.1999999999999997,7,1048.845,0,0,0,0.020429862,0.790479207,0.028335042,0.159392431,0,0.001363458,111.800999,0,0.426764153,,,0.13029638,0.845209405,0.09424931,,8.990264781,10.48678403,Decline - Maintained,Persistently Less than Good
IE_EA_07A010050,ATHBOY_020,River,Midlands and East,Meath CoCo,7,Athboy,Athboy,LAWPRO,Good,At risk,Moderate,Moderate,Good,Invertebrates,Monitoring,Not Achieved,Not Achieved,Achieved,Improved,1,No,Now Achieving,1,"Morphological, Nutrients",2,"Agriculture, Hydromorphology",,TRUE,,,,,,,TRUE,,,,,,,,,,6,19,4.653333333333333,2.1999999999999997,7,2366.6275,0.253813274,0,0,0.011250899,0.663569383,0.058223303,0,0,0.013143141,279.733203,0.253813274,0.300213053,,0.066939901,0.167186866,1.103458329,0.717520975,0.011461414,21.29554221,23.66232274,Improvement - Significant,Improvement - Recent
IE_EA_07A010070,ATHBOY_030,River,Midlands and East,Meath CoCo,7,Athboy,Athboy,LAWPRO,Good,At risk,Moderate,Moderate,Good,Invertebrates,Monitoring,Not Achieved,Not Achieved,Achieved,Improved,1,No,Now Achieving,1,"Morphological, Nutrients, Organic",3,"Agriculture, Hydromorphology, Urban Run-off",,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,9,18,4.64,2.15,7,1642.552,0.275676549,0,0,0.009778514,0.632828357,0.051437782,0.016965948,0,0.01331285,221.273809,0.275676549,0.403482654,,0.126451812,0.550972555,2.484020641,0.255989223,0.052782384,12.54895193,16.4226512,Improvement - Significant,Improvement - Recent
IE_EA_07A010100,ATHBOY_040,River,Midlands and East,Meath CoCo,7,Athboy,Athboy,LAWPRO,Good,At risk,Moderate,Poor,Poor,Fish,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Sediment, Morphological, Nutrients",2,"Agriculture, Hydromorphology",,TRUE,,,,,,,TRUE,,,,,,,,,,12,23,3.7066666666666666,3.0999999999999996,7,2746.0857,0,0.002783299,0,0.023159652,0.719642819,0.050834461,0.167109719,0.029382482,0.007087568,327.848406,0.002783299,0.634792413,,,3.670343283,2.990173826,0.61868231,0.024335848,19.51745166,27.45577934,Consistently not achieving objective,Persistently Less than Good
IE_EA_07A010300,ATHBOY_050,River,Midlands and East,Meath CoCo,7,Athboy,Athboy,LAWPRO,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Morphological, Nutrients",2,"Agriculture, Hydromorphology",,TRUE,,,,,,,TRUE,,,,,,,,,,12,28,3.7733333333333334,3.0999999999999996,7,3760.5172,0.401145629,0,0.116605366,0.009445258,0.347098706,0.114201317,0.004535087,0.005306089,0.001662548,737.88664000000006,0.517750995,1.096957762,,0.567662203,0.404027147,5.388644582,1.612024621,0.012081885,28.51655882,37.59795702,Consistently not achieving objective,Persistently Less than Good
IE_EA_07A010500,ATHBOY_060,River,Midlands and East,Meath CoCo,7,Athboy,Athboy,LAWPRO,Good,Review,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,,,,,,,,,,,,,,,,,,,,,,8,26,3.7466666666666666,3.1666666666666665,7,3456.7352,0.388625815,0,0.048498731,0.012969453,0.252724123,0.176311789,0.11998698,0,8.83109e-4,602.121607,0.437124546,1.040759071,,0.168927739,0.83273946,3.109225225,0.964958868,0.010632586,28.43298391,34.56022686,Consistently not achieving objective,Persistently Less than Good
IE_EA_07A200940,AGHNANEANE_or_HERMITAGE_010,River,Midlands and East,Meath CoCo,7,Moynalty,Moynalty,LAWPRO,Good,Review,Unassigned,Poor,Moderate,,Modelling,Cannot Assess,Not Achieved,Not Achieved,Improved,1,No,Still not Achieving,1,,,,,,,,,,,,,,,,,,,,,,18,33,4.84,1.9999999999999998,7,2836.3073,0,0,0,0.011631889,0.809860397,0.095529288,0.054350807,0.025336449,0.00329117,366.265181,0,0.588339254,,,2.836863324,2.660784059,2.217844292,0.016477525,20.03622889,28.35653734,Consistently not achieving objective,Data Gap
IE_EA_07B010100,BLACKWATER (KELLS)_010,River,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,Not at risk,Good,Good,High,Invertebrates,Monitoring,Achieved,Achieved,Achieved,Improved,1,No,Still Achieving,1,,,,,,,,,,,,,,,,,,,,,,19,2,4.426666666666667,1.9833333333333332,7,1277.7,0,0,0,0.069525647,0.850715065,0,0.076050997,0,0.003708291,230.017523,0,0.086775729,0.060968918,,0.749571358,10.15568161,0.003956052,0.017054431,1.700493008,12.7745011,Consistently achieving objective,Improvement - Recent
IE_EA_07B010170,BLACKWATER (KELLS)_020,River,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Moderate,Poor,Poor,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Sediment, Hydrological, Morphological, Nutrients, Organic",3,"Hydromorphology, Urban Run-off, Urban Waste Water",,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,37,2,3.4266666666666667,2.683333333333333,7,1122.6625,0.172676305,0.219400481,0.15187692,0.015851266,0.42208945,0,0.016883976,0,0.001221602,492.250515,0.543953706,0.456998376,,0.268601453,0.415497796,8.982260441,0.002838054,0.012024132,1.086320496,11.22454075,Consistently not achieving objective,Persistently Less than Good
IE_EA_07B010280,BLACKWATER (KELLS)_030,River,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Poor,Poor,Poor,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Nutrients, Organic",1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,40,2,3.4266666666666667,2.6333333333333333,7,1434.7425,0,0,0.014342427,0.011377963,0.658261344,0,0.190403763,0,0.125614503,404.404361,0.014342427,0.346505545,,0.057546532,1.158304875,11.32097981,,1.015803026,0.445744881,14.34488467,Consistently not achieving objective,Persistently Poor
IE_EA_07B010420,BLACKWATER (KELLS)_040,River,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Nutrients, Organic",2,"Agriculture, Domestic Waste Water",,TRUE,,,,TRUE,,,,,,,,,,,,,41,2,3.4266666666666667,2.6166666666666663,7,925.5875,0,0,0,0.098663069,0.879168177,2.25385e-4,0.00585882,0,0.016084549,207.525066,0,0.2067293,,0.097456309,0.634345879,7.621301218,,0.066747296,0.627690314,9.254270317,Consistently not achieving objective,Persistently Less than Good
IE_EA_07B010500,BLACKWATER (KELLS)_050,River,Borders,Cavan CoCo,7,,Blackwater (Kells) Upper,LAWPRO,Good,At risk,Good,Poor,Poor,Fish,Monitoring,Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Morphological, Nutrients",2,"Agriculture, Hydromorphology",,TRUE,,,,,,,TRUE,,,,,,,,,,54,4,3.453333333333333,2.4,7,1117.2975,0,0,0,0.028198537,0.962211816,0,1.75e-5,0,0.009572191,252.119076,0,0.219039337,,0.004837248,1.067554528,8.340851352,7.28021e-4,0.048257586,1.489832325,11.1711004,Decline - Maintained,Persistently Less than Good
